Context,Original,Translation,Comments
# encoding UTF-8
# bl_info
"*","ファイル > インポート/エクスポート > CM3D2 Model (.model)","File > Import/Export > CM3D2 Model (.model)"
"*","カスタムメイド3D2/カスタムオーダーメイド3D2専用ファイルのインポート/エクスポートを行います","A plugin dedicated to the editing, importing, and exporting of CM3D2 .model Files"
# __init__.py
"*","anmファイル置き場",".anm Default Path"
"*","設定すれば、anmを扱う時は必ずここからファイル選択を始めます","If set. The file selection will open here."
"*","anmエクスポート時のデフォルトパス",".anm Default Export Path"
"*","anmエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","When exporting a .anm file. The file selection prompt will begin here."
"*","anmインポート時のデフォルトパス",".anm Default Import Path"
"*","anmインポート時に最初はここが表示されます、インポート毎に保存されます","When importing a .anm file. The file selection prompt will begin here."
"*","バックアップの拡張子 (空欄で無効)","Backup Extension (Must not be left blank)"
"*","エクスポート時にバックアップを作成時この拡張子で複製します、空欄でバックアップを無効","The previous Model file with the same name will be given an extension."
"*","Display Type","Display Type"
"*","Octahedral","Octahedral"
"*","Display bones as octahedral shape (default).","Display bones as octahedral shape (default)."
"*","Stick","Stick"
"*","Display bones as simple 2D lines with dots.","Display bones as simple 2D lines with dots."
"*","B-Bone","B-Bone"
"*","Display bones as boxes, showing subdivision and B-Splines.","Display bones as boxes, showing subdivision and B-Splines."
"*","Envelope","Envelope"
"*","Display bones as extruded spheres, showing deformation influence volume.","Display bones as extruded spheres, showing deformation influence volume."
"*","Wire","Wire"
"*","Display bones as thin wires, showing subdivision and B-Splines.","Display bones as thin wires, showing subdivision and B-Splines."
"*","CM3D2インストールフォルダ","CM3D2 Location"
"*","変更している場合は設定しておくと役立つかもしれません","You should set the correct directory if you used a different one."
"*","CM3D2用法線のブレンド率","Custom Normal Blend"
"*","texファイル置き場","Tex file search area"
"*","texファイルを探す時はここから探します","Search here for tex files"
"*","モディファイアを適用","Apply Modifiers"
"*","基本的にボーン名/ウェイト名をBlender用に変換","Convert weight names for Blender"
"*","modelインポート時にボーン名/ウェイト名を変換するかどうかのオプションのデフォルトを設定します","Will change the options default when importing or exporting."
"*","基本的にtexファイルを探す","Search for Tex File"
"*","texファイルを探すかどうかのオプションのデフォルト値を設定します","Sets the default of the option to search for tex files"
"*","mateファイル置き場",".mate Default Path"
"*","設定すれば、mateを扱う時は必ずここからファイル選択を始めます","If set, .mate file selection will open here"
"*","mateエクスポート時のデフォルトパス",".mate Default Export Path"
"*","mateエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","When exporting a .mate file. The file selection prompt will begin here."
"*","mateインポート時のデフォルトパス",".mate Default Import Path"
"*","mateインポート時に最初はここが表示されます、インポート毎に保存されます","When importing a .mate file. The file selection prompt will begin here."
"*","同じ設定値が2つ以上ある場合削除","Delete if there are two or more same values"
"*","_ShadowColor など","_ShadowColor"
"*",".menu Default Path",".menu Default Path"
"*","If set. The file selection will open here.","If set .menu file selection will open here."
"*",".menu Default Export Path",".menu Default Export Path"
"*","When exporting a .menu file. The file selection prompt will begin here.","When exporting a .menu file. The file selection prompt will begin here."
"*",".menu Default Import Path",".menu Default Import Path"
"*","When importing a .menu file. The file selection prompt will begin here.","When importing a .menu file. The file selection prompt will begin here."
"*","modelファイル置き場",".model Default Path"
"*","設定すれば、modelを扱う時は必ずここからファイル選択を始めます","If set .model file selection will open here"
"*","modelエクスポート時のデフォルトパス",".model Default Export Path"
"*","modelエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","When exporting a .model file, The file selection prompt will begin here."
"*","modelインポート時のデフォルトパス",".model Default Import Path"
"*","modelインポート時に最初はここが表示されます、インポート毎に保存されます","When importing a .model file, The file selection prompt will begin here."
"*","_Color","_Color"
"*","_Cutoff","_Cutoff"
"*","_Cutout","_Cutout"
"*","_HiPow","_HiPow"
"*","_HiRate","_HiRate"
"*","_OutlineToonRamp 名前","_OutlineToonRamp Name"
"*","_OutlineToonRamp パス","_OutlineToonRamp Path"
"*","_OutlineColor","_OutlineColor"
"*","_OutlineWidth","_OutlineWidth"
"*","_RimColor","_RimColor"
"*","_RimPower","_RimPower"
"*","_RimShift","_RimShift"
"*","_ShadowColor","_ShadowColor"
"*","_ShadowRateToon 名前","_ShadowRateToon Name"
"*","_ShadowRateToon パス","_ShadowRateToon Path"
"*","_Shininess","_Shininess"
"*","テクスチャのオフセット","Texture Offset"
"*","テクスチャのスケール","Texture Scale"
"*","_ToonRamp 名前","_ToonRamp Name"
"*","_ToonRamp パス","_ToonRamp Path"
"*","_ZTest","_ZTest"
"*","_ZTest2","_ZTest2"
"*","_ZTest2Alpha","_ZTest2Alpha"
"*","倍率","Scale"
"*","Blenderでモデルを扱うときの拡大率","The scale at which the models are imported and exported"
"*","Show Bone Axes","Show Bone Axes"
"*","Display bone axes","Display bone axes"
"*","Show Bone Shapes","Show Bone Shapes"
"*","Display bones with their custom shapes","Display bones with their custom shapes"
"*","Show Bone Group Colors","Show Bone Group Colors"
"*","Display bone group colors","Display bone group colors"
"*","Make the object draw in front of others","Make the object draw in front of others"
"*","Show Bone Names","Show Bone Names"
"*","Display bone names","Display bone names"
"*","無変更シェイプキーをスキップ","Skip Unchanged Shape Keys"
"*","ベースと同じシェイプキーを出力しない","Shapekeys that are the same as the basis shapekey will not be imported."
"*","設定すれば、texを扱う時は必ずここからファイル選択を始めます",".tex Default Path"
"*","texエクスポート時のデフォルトパス",".tex Default Export Path"
"*","texエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","When exporting a .tex file. The file selection prompt will begin here."
"*","texインポート時のデフォルトパス",".tex Default Import Path"
"*","texインポート時に最初はここが表示されます、インポート毎に保存されます","When importing a .tex file. The file selection prompt will begin here."
# anm_export.py
"*","Export Method","Export Method"
"*","ボーン親情報の参照先","Destination of bone parent information"
"*","除外するボーン","Bones to Exclude"
"*","Creating missing FCurve for {path}[{index}]","Creating missing FCurve for {path}[{index}]"
"*","Creating missing keyframe @ frame {frame} for {path}[{index}]","Creating missing keyframe @ frame {frame} for {path}[{index}]"
# anm_import.py
"*","読み込むアニメーション情報","Animation data to load"
"*","これはカスタムメイド3D2のモーションファイルではありません","This is not a CM3D2 .anm file."
"*","Unexpected first channel id = {id} (should be 1).","Unexpected first channel id = {id} (should be 1)."
"*","Found the following tangent values:","Found the following tangent values:"
"*","Found the above tangent values.","Found the above tangent values."
"*","Found {count} large tangents. Blender animation may not interpolate properly. See log for more info.","Found {count} large tangents. Blender animation may not interpolate properly. See log for more info."
"*","Found the following unknown channel IDs:","Found the following unknown channel IDs:"
"*","Found the above unknown channel IDs.","Found the above unknown channel IDs."
"*","Found {count} unknown channel IDs. Blender animation may be missing some keyframes. See log for more info.","Found {count} unknown channel IDs. Blender animation may be missing some keyframes. See log for more info."
"*","f1 = {float1}, f2 = {float2}","f1 = {float1}, f2 = {float2}"
"*","id = {id}","id = {id}"
"*","Unknown channel id {num}","Unknown channel id {num}"
# common.py
"*","CNV_SelectorItem","CNV_SelectorItem"
"*","Filter 0","Filter 0"
"*","Filter 1","Filter 1"
"*","Filter 2","Filter 2"
"*","Filter 3","Filter 3"
"*","Icon","Icon"
"*","Prefered","Prefered"
"*","Value","Value"
"*","CNV_UL_generic_selector","CNV_UL_generic_selector"
# mate_export.py
"Operator","mateとして保存","Save As .mate"
"*","mateファイルの出力に失敗、中止します。 構文を見直して下さい。","Failed to ouput the .mate file. Operation was cancelled. Review your material."
# mate_import.py
"Operator","mateを開く","Import Mate"
"*","ファイルを開くのに失敗しました、アクセス不可かファイルが存在しません。file=%s","Failed to open file, inaccessible or file does not exist: file=%s"
"*","mateファイルのインポートを中止します。","This is not a CM3D2 .mate file"
"*","上書きする為のテキストデータが見つかりません","Text data could not be overwritten"
# menu_OBJECT_PT_cm3d2_menu.py
"Operator","Align Attach Point to Selected","Align Attach Point to Selected"
"Operator","Align Selected to Attach Point","Align Selected to Attach Point"
"Operator","Add Command","Add Command"
"Operator","Move Command","Move Command"
"Operator","Remove Command","Remove Command"
"Operator","Export CM3D2 Menu File","Export CM3D2 Menu File"
"Operator","Import CM3D2 Menu File","Import CM3D2 Menu File"
"Operator","Add Parameter","Add Parameter"
"Operator","Move Parameter","Move Parameter"
"Operator","Remove Parameter","Remove Parameter"
"*","CM3D2 Menu","CM3D2 Menu"
"*","Successfully exported to .menu file","Successfully exported to .menu file"
# menu_file.py
"*","Command","Command"
"*","The command of this menu file command-chunk","The command of this menu file command-chunk"
"*","Attach Point","Attach Point"
"*","description","description"
"*","Location","Location"
"*","Location of the attatchment relative to the base bone","Location of the attatchment relative to the base bone"
"*","Point Name","Point Name"
"*","Name of the slot to define the attatchment point for","Name of the slot to define the attatchment point for"
"*","Rotation","Rotation"
"*","Rotation of the attatchment relative to the base bone","Rotation of the attatchment relative to the base bone"
"*","Parameters","Parameters"
"*","Search","Search"
"*","Search for suggestions","Search for suggestions"
"*","Property","Property"
"*","Property Name","Property Name"
"*","Name of the property to set on load","Name of the property to set on load"
"*","Property Value","Property Value"
"*","Value of the property to set on load","Value of the property to set on load"
"*","Slot Name","Slot Name"
"*","Active Command Index","Active Command Index"
"*","Category","Category"
"*","Commands","Commands"
"*","Description","Description"
