Context,Original,Translation,Comments
# encoding UTF-8
# bl_info
"*","ファイル > インポート/エクスポート > CM3D2 Model (.model)","File > Import/Export > CM3D2 Model (.model)"
"*","カスタムメイド3D2/カスタムオーダーメイド3D2専用ファイルのインポート/エクスポートを行います","A plugin dedicated to the editing, importing, and exporting of CM3D2 .model Files"
# AddonPreferences
"*","CM3D2インストールフォルダ","CM3D2 Location"
"*","変更している場合は設定しておくと役立つかもしれません","You should set the correct directory if you used a different one"
"*","バックアップの拡張子 (空欄で無効)","Backup Extension (Must not be left blank)"
"*","エクスポート時にバックアップを作成時この拡張子で複製します、空欄でバックアップを無効","The previous Model file with the same name will be given an extension"
"*","倍率","Scale"
"*","Blenderでモデルを扱うときの拡大率","The scale at which the models are imported and exported"
"*","基本的にボーン名/ウェイト名をBlender用に変換","Convert weight names for Blender"
"*","modelインポート時にボーン名/ウェイト名を変換するかどうかのオプションのデフォルトを設定します","Will change the options default when importing or exporting"
"*","modelファイル置き場","Model Default Path"
"*","設定すれば、modelを扱う時は必ずここからファイル選択を始めます","If set. The file selection will open here"
"*","modelインポート時のデフォルトパス","Model Default Import Path"
"*","modelインポート時に最初はここが表示されます、インポート毎に保存されます","When importing a .model file. The file selection prompt will begin here"
"*","modelエクスポート時のデフォルトパス","Model Default Export Path"
"*","modelエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","When exporting a .model file. The file selection prompt will begin here"
"*","anmファイル置き場",".anm Default Path"
"*","設定すれば、anmを扱う時は必ずここからファイル選択を始めます","If set. The file selection will open here"
"*","anmインポート時のデフォルトパス",".anm Default Import Path"
"*","anmインポート時に最初はここが表示されます、インポート毎に保存されます","When importing a .anm file. The file selection prompt will begin here"
"*","anmエクスポート時のデフォルトパス",".anm Default Export Path"
"*","anmエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","When exporting a .anm file. The file selection prompt will begin here"
"*","texファイル置き場",".tex Default Path"
"*","設定すれば、texを扱う時は必ずここからファイル選択を始めます","If set. The file selection will open here"
"*","texインポート時のデフォルトパス",".tex Default Import Path"
"*","texインポート時に最初はここが表示されます、インポート毎に保存されます","When importing a .tex file. The file selection prompt will begin here"
"*","texエクスポート時のデフォルトパス",".tex Default Export Path"
"*","texエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","When exporting a .tex file. The file selection prompt will begin here"
"*","mateファイル置き場",".mate Default Path"
"*","設定すれば、mateを扱う時は必ずここからファイル選択を始めます","If set. The file selection will open here"
"*","同じ設定値が2つ以上ある場合削除","Delete if there are two or more same values"
"*","_ShadowColor など","_ShadowColor"
"*","mateインポート時のデフォルトパス",".mate Default Import Path"
"*","mateインポート時に最初はここが表示されます、インポート毎に保存されます","When importing a .mate file. The file selection prompt will begin here"
"*","mateエクスポート時のデフォルトパス",".mate Default Export Path"
"*","mateエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","When exporting a .mate file. The file selection prompt will begin here"
"*","基本的にtexファイルを探す","Search for Tex File"
"*","texファイルを探すかどうかのオプションのデフォルト値を設定します","Sets the default of the option to search for tex files"
"*","texファイル置き場","Tex file search area"
"*","texファイルを探す時はここから探します","Search here for tex files"
"*","CM3D2用法線のブレンド率","Custom Normal Blend"
"*","無変更シェイプキーをスキップ","Skip Unchanged Shape Keys"
"*","ベースと同じシェイプキーを出力しない","Shapekeys that are the same as the basis shapekey will not be imported"
"*","モディファイアを適用","Apply Modifiers"
"*","テクスチャのオフセット","Texture Offset"
"*","テクスチャのスケール","Texture Scale"
"*","_ToonRamp 名前","_ToonRamp Name"
"*","_ToonRamp パス","_ToonRamp Path"
"*","_ShadowRateToon 名前","_ShadowRateToon Name"
"*","_OutlineToonRamp パス","_OutlineToonRamp Path"
"*","_ShadowRateToon パス","_ShadowRateToon Path"
"*","_OutlineToonRamp 名前","_OutlineToonRamp Name"
# draw()
"*","ここの設定は「ユーザー設定の保存」ボタンを押すまで保存されていません","You must press 'Save User Settings' button for these settings to be saved"
"*","設定値を変更した場合、「プリファレンスを保存」ボタンを押下するか、「プリファレンスを自動保存」を有効にして保存してください","If you changed your preferences, remember to save them before exiting"
"*","modelファイル",".Model File"
"*","ファイル選択時の初期フォルダ","Initial folder when selecting files"
"*","anmファイル",".anm File"
"*","texファイル","tex file"
"*","mateファイル","mate file"
"*","texファイル検索","Search for Tex File"
"*","その2","Part 1"
"*","その1","Part 2"
"*","その3","Part 3"
"*","その4","Part 4"
"*","CM3D2用マテリアル新規作成時の初期値","Defaults for when a new CM3d2 Material is Created"
"*","各操作の初期パラメータ","Default Export Settings",""
