"Context","Original","Translation","Comments"
# encoding UTF-8
# misc_DATA_PT_context_arm"
"*","CM3D2用","For CM3D2"
"*","ボーン情報","Bone Data"
"*","コピー","Copy"
"*","貼付け","Paste""CM3D2用","For CM3D2"
"*","ボーン名変換","Convert Bone Names"
# misc_DATA_PT_context_arm.?2
"*","ボーン名をCM3D2用→Blender用に変換"," Decode CM3D2 bone names→Blender bones names"
"*","CM3D2で使われてるボーン名をBlenderで左右対称編集できるように変換します","Bone names are converted to Blender bone names for mirror functions."
"*","変換できる名前が見つかりませんでした","No convertible names were found. Aborting."
"*","ボーン名をBlender用に変換しました","Bones names were converted for Blender. Mission Accomplished."
"*","ボーン名をBlender用→CM3D2用に変換","Blender bone names→CM3D2 bone names"
"*","CM3D2で使われてるボーン名に元に戻します","blender bone names are reverted back to CM3D2 bone names."
"*","変換できる名前が見つかりませんでした","A name that cannot be converted was found, Mission failed"
"*","ボーン名をCM3D2用に戻しました","Bone names were converted back to CM3D2 Format. Mission Accomplished."
"*","ボーン情報をコピー","Copy the bone Data"
"*","カスタムプロパティのボーン情報をクリップボードにコピーします","Copy the bone Data in the armature custom properties to the clipboard."
"*","ボーン情報をクリップボードにコピーしました","Bone Data was copied, mission accomplished."
"*","ボーン情報を貼付け","Paste Bone Data"
"*","カスタムプロパティのボーン情報をクリップボードから貼付けます","Bone Data is pasted into the Armature custom properties. NOTE: this wil replace any Data in the custom properties."
"*","ボーン情報をクリップボードから貼付けました","Bone Data was pasted, mission accomplished"
"*","ボーン情報を削除","Remove Bone Data"
"*","カスタムプロパティのボーン情報を全て削除します","Removes all Bone Data from the armature's custom properties."
"*","カスタムプロパティのボーン情報を全て削除します","Removes all bone Data from the armature's custom properties."
"*","ボーン情報を削除しました","Bone data was removed, mission accomplished"
# misc_DATA_PT_context_arm add_cm3d2_body_sliders
# misc_DATA_PT_modifiers
# misc_DATA_PT_modifiers.force_modifiers
"*","モディファイア強制適用","Force Modifiers"
