Context,Original,Translation,Comments
# encoding UTF-8
# model_export.py
"*","ボーン情報元","Bone Data Source"
"*","マテリアル情報元","Material Source"
"*","メッシュオプション","Mesh Options"
"*","ウェイトが割り当てられていない頂点が見つかりました、中止します","A Vertex with no weight assigned has been found. Aborting."
"*","modelのエクスポートが完了しました。%.2f 秒 file=%s",""
"*","ウェイトの合計が1.0を超えている頂点が見つかりました。正規化してください。超過している頂点の数:%d","Found %d vertices whose total weight is more then 1. Please Normalize Weights."
"*","ウェイトの合計が1.0未満の頂点が見つかりました。正規化してください。不足している頂点の数:%d","Found %d vertices whose total weight is less then 1. Please Normalize Weights."
"*","4つを超える頂点グループにある頂点が見つかりました。頂点グループをクリーンアップしてください。不足している頂点の数:%d","Found %d vertices that are in more than 4 vertex groups. Please Clean Vertex Groups"
"*","頂点が割り当てられていない{num}つのローカルボーンが見つかりました。 詳細については、ログを参照してください。","Found {num} local bones with no vertices assigned. See log for more info."
"*","%d個のオブジェクトをマージしました","Merged %d objects"
# model_import.py
"*","メッシュ","Mesh"
"*","頂点グループ","Vertex Group"
"*","マテリアル","Material"
"*","ボーン名をBlender用に変換","Convert Bone Names for Blender"
"*","ボーン情報埋め込み場所","Bone Data Destination"
"*","modelのインポートが完了しました (%d %s/ %.2f 秒)","Model was imported successfully (%d %s/ %.2f sec)"
"*","これはカスタムメイド3D2のモデルファイルではありません","This is not a CM3D2 Model File."
