Context,Original,Translation,Comments
# encoding UTF-8
# __init__.py
*,anmファイル置き場,.anm 默认路径,
*,設定すれば、anmを扱う時は必ずここからファイル選択を始めます,如果已设置，文件选择器将默认在此路径下打开,
*,anmエクスポート時のデフォルトパス,.anm 默认导出路径,
*,anmエクスポート時に最初はここが表示されます、エクスポート毎に保存されます,导出 .anm 文件时，文件选择器将默认在此路径下打开,
*,anmインポート時のデフォルトパス,.anm 默认导入路径,
*,anmインポート時に最初はここが表示されます、インポート毎に保存されます,导入 .anm 文件时，文件选择器将默认在此路径下打开,
*,バックアップの拡張子 (空欄で無効),备份扩展名（不能为空）,
*,エクスポート時にバックアップを作成時この拡張子で複製します、空欄でバックアップを無効,导出时如果创建备份，将使用此扩展名进行复制；留空则禁用备份,
*,Display Type,显示类型,
*,Octahedral,八面锥,
*,Display bones as octahedral shape (default).,以八面锥样式显示骨骼（默认）,
*,Stick,棍形,
*,Display bones as simple 2D lines with dots.,以带点的 2D 简明线条样式显示骨骼,
*,B-Bone,柔性骨骼,
*,"Display bones as boxes, showing subdivision and B-Splines.","以方条样式显示骨骼, 显示插值样条的细分效果",
*,Envelope,封套,
*,"Display bones as extruded spheres, showing deformation influence volume.","以球状挤出样式显示骨骼, 可显示形变的影响量",
*,Wire,线框,
*,"Display bones as thin wires, showing subdivision and B-Splines.","以细线样式显示骨骼, 可显示插值样条的细分效果",
*,CM3D2インストールフォルダ,CM3D2 路径,
*,変更している場合は設定しておくと役立つかもしれません,如果你使用了不同的目录，应在此设置正确的目录,
*,CM3D2用法線のブレンド率,CM3D2 法线混合率,
*,texファイル置き場,Tex 文件搜索路径,
*,texファイルを探す時はここから探します,在此搜索 tex 文件,
*,モディファイアを適用,应用修改器,
*,基本的にボーン名/ウェイト名をBlender用に変換,将骨骼名/权重名转换为 Blender 格式,
*,modelインポート時にボーン名/ウェイト名を変換するかどうかのオプションのデフォルトを設定します,设置导入 model 时是默认将骨骼名/权重名转换为 Blender 格式,
*,基本的にtexファイルを探す,搜索 Tex 文件,
*,texファイルを探すかどうかのオプションのデフォルト値を設定します,设置“搜索 tex 文件”选项的默认值,
*,mateファイル置き場,.mate 默认路径,
*,設定すれば、mateを扱う時は必ずここからファイル選択を始めます,如果已设置，.mate 文件选择器将默认在此路径下打开,
*,mateエクスポート時のデフォルトパス,.mate 默认导出路径,
*,mateエクスポート時に最初はここが表示されます、エクスポート毎に保存されます,导出 .mate 文件时，文件选择器将默认在此路径下打开,
*,mateインポート時のデフォルトパス,.mate 默认导入路径,
*,mateインポート時に最初はここが表示されます、インポート毎に保存されます,导入 .mate 文件时，文件选择器将默认在此路径下打开,
*,同じ設定値が2つ以上ある場合削除,如果有两个或以上相同的值则删除,
*,_ShadowColor など,_ShadowColor 等,
*,.menu Default Path,.menu 默认路径,
*,If set. The file selection will open here.,如果已设置，文件选择器将默认在此路径下打开,
*,.menu Default Export Path,.menu 默认导出路径,
*,When exporting a .menu file. The file selection prompt will begin here.,导出 .menu 文件时，文件选择器将默认在此路径下打开,
*,.menu Default Import Path,.menu 默认导入路径,
*,When importing a .menu file. The file selection prompt will begin here.,导入 .menu 文件时，文件选择器将默认在此路径下打开,
*,modelファイル置き場,模型默认路径,
*,設定すれば、modelを扱う時は必ずここからファイル選択を始めます,如果已设置，.model 文件选择器将在此处打开,
*,modelエクスポート時のデフォルトパス,模型默认导出路径,
*,modelエクスポート時に最初はここが表示されます、エクスポート毎に保存されます,导出 .model 文件时，文件选择器将默认在此路径下打开,
*,modelインポート時のデフォルトパス,模型默认导入路径,
*,modelインポート時に最初はここが表示されます、インポート毎に保存されます,导入 .model 文件时，文件选择器将默认在此路径下打开,
*,_Color,_Color,
*,_Cutoff,_Cutoff,
*,_Cutout,_Cutout,
*,_HiPow,_HiPow,
*,_HiRate,_HiRate,
*,_OutlineToonRamp 名前,_OutlineToonRamp 名称,
*,_OutlineToonRamp パス,_OutlineToonRamp 路径,
*,_OutlineColor,_OutlineColor,
*,_OutlineWidth,_OutlineWidth,
*,_RimColor,_RimColor,
*,_RimPower,_RimPower,
*,_RimShift,_RimShift,
*,_ShadowColor,_ShadowColor,
*,_ShadowRateToon 名前,_ShadowRateToon 名称,
*,_ShadowRateToon パス,_ShadowRateToon 路径,
*,_Shininess,_Shininess,
*,テクスチャのオフセット,纹理偏移,
*,テクスチャのスケール,纹理缩放,
*,_ToonRamp 名前,_ToonRamp 名称,
*,_ToonRamp パス,_ToonRamp 路径,
*,_ZTest,_ZTest,
*,_ZTest2,_ZTest2,
*,_ZTest2Alpha,_ZTest2Alpha,
*,Blenderでモデルを扱うときの拡大率,模型导入和导出时使用的缩放比例,
*,Show Bone Axes,显示骨骼轴,
*,Display bone axes,显示骨骼轴线,
*,Show Bone Shapes,显示骨骼形状,
*,Display bones with their custom shapes,显示骨骼为其自定义形状,
*,Show Bone Group Colors,显示骨骼组颜色,
*,Display bone group colors,显示骨骼组颜色,
*,Make the object draw in front of others,让对象绘制在其他对象前方,
*,Show Bone Names,显示骨骼名称,
*,Display bone names,显示骨骼名称,
*,無変更シェイプキーをスキップ,跳过未变化的形态键,
*,ベースと同じシェイプキーを出力しない,与基础形态键相同的形态键将不会被导出,
*,設定すれば、texを扱う時は必ずここからファイル選択を始めます,如果已设置，处理 .tex 时文件选择器将默认在此路径下打开,
*,texエクスポート時のデフォルトパス,.tex 默认导出路径,
